iter	Quantile:alpha=0.95
1095	7469.276683
1096	7467.803431
1097	7466.300319
1098	7465.348768
1099	7464.382303
1100	7463.446589
1101	7462.258027
1102	7461.677262
1103	7460.237333
1104	7459.400802
1105	7458.446141
1106	7457.294599
1107	7456.302859
1108	7455.42701
1109	7454.543205
1110	7453.885193
1111	7452.545076
1112	7451.132043
1113	7450.164007
1114	7449.162897
1115	7448.7681
1116	7447.98948
1117	7447.429423
1118	7446.005677
1119	7445.19327
1120	7443.636102
1121	7442.848795
1122	7441.932293
1123	7440.869727
1124	7439.31491
1125	7438.298647
1126	7437.117341
1127	7436.000503
1128	7433.993371
1129	7433.211816
1130	7432.462021
1131	7431.759736
1132	7429.865405
1133	7428.785619
1134	7427.675719
1135	7426.778771
1136	7426.118248
1137	7425.015305
1138	7423.70222
1139	7422.345611
1140	7421.193232
1141	7420.479469
1142	7419.376561
1143	7418.318361
1144	7417.377173
1145	7416.650939
1146	7416.08737
1147	7415.239568
1148	7414.472397
1149	7413.008267
1150	7411.82027
1151	7411.017888
1152	7409.881528
1153	7408.802337
1154	7407.484736
1155	7406.693875
1156	7405.67522
1157	7404.821375
1158	7403.847363
1159	7402.228014
1160	7401.342581
1161	7400.692904
1162	7399.682725
1163	7398.859803
1164	7397.877908
1165	7397.10272
1166	7396.203647
1167	7395.439585
1168	7394.711284
1169	7394.048017
1170	7393.268982
1171	7392.129283
1172	7391.192025
1173	7390.238549
1174	7389.295328
1175	7388.643276
1176	7387.867955
1177	7385.744207
1178	7384.67035
1179	7383.971923
1180	7383.161554
1181	7381.468755
1182	7379.972475
1183	7379.116721
1184	7378.091127
1185	7377.365509
1186	7376.482657
1187	7375.381102
1188	7374.586724
1189	7373.238702
1190	7372.473718
1191	7371.791752
1192	7371.156184
1193	7370.452496
1194	7369.501239
1195	7368.644064
1196	7367.831946
1197	7366.795135
1198	7365.994727
1199	7365.47461
1200	7364.580816
1201	7363.985392
1202	7363.008932
1203	7361.263981
1204	7360.466218
1205	7359.638209
1206	7358.390045
1207	7357.779528
1208	7356.9617
1209	7356.303557
1210	7355.403681
1211	7354.355889
1212	7352.938792
1213	7352.329308
1214	7351.626721
1215	7350.730411
1216	7349.267176
1217	7348.837252
1218	7347.971254
1219	7347.0738
1220	7346.050601
1221	7345.535659
1222	7344.724742
1223	7343.92819
1224	7342.943879
1225	7341.82318
1226	7340.779573
1227	7339.602821
1228	7338.69362
1229	7337.717528
1230	7337.067139
1231	7335.891892
1232	7335.15803
1233	7333.897647
1234	7332.686721
1235	7331.408466
1236	7330.547338
1237	7329.844089
1238	7328.849934
1239	7328.160974
1240	7327.502621
1241	7326.698566
1242	7325.888445
1243	7324.655465
1244	7323.60275
1245	7322.908596
1246	7321.010893
1247	7319.795561
1248	7319.123408
1249	7318.276971
1250	7317.441302
1251	7316.340098
1252	7315.102537
1253	7314.403211
1254	7313.266585
1255	7312.673875
1256	7311.740158
1257	7310.886931
1258	7309.520049
1259	7308.232822
1260	7307.434658
1261	7306.551464
1262	7305.862959
1263	7305.090973
1264	7304.34039
1265	7303.66733
1266	7302.642788
1267	7301.926464
1268	7300.857216
1269	7299.617945
1270	7298.919372
1271	7298.24083
1272	7297.798978
1273	7297.236715
1274	7296.362484
1275	7295.420128
1276	7294.558895
1277	7293.461244
1278	7292.631477
1279	7291.659251
1280	7290.99995
1281	7290.403523
1282	7289.723783
1283	7288.620606
1284	7287.94246
1285	7287.137445
1286	7286.434156
1287	7285.431785
1288	7284.622801
1289	7283.944844
1290	7283.038458
1291	7282.342788
1292	7281.411991
1293	7280.72379
1294	7279.821985
1295	7279.12422
1296	7278.116515
1297	7277.176891
1298	7276.30166
1299	7275.19679
1300	7274.298333
1301	7273.583497
1302	7272.953487
1303	7272.263674
1304	7271.072802
1305	7270.109655
1306	7269.183312
1307	7268.156
1308	7267.085594
1309	7266.321318
1310	7265.603082
1311	7265.018601
1312	7264.372542
1313	7263.74368
1314	7263.259437
1315	7262.296038
1316	7261.207263
1317	7260.240682
1318	7259.471644
1319	7259.091516
1320	7258.11661
1321	7257.616706
1322	7256.761859
1323	7255.673328
1324	7255.125056
1325	7254.636261
1326	7253.685707
1327	7253.097346
1328	7252.324132
1329	7251.64371
1330	7250.92549
1331	7249.772264
1332	7248.9277
1333	7248.543185
1334	7247.681154
1335	7247.155136
1336	7246.365704
1337	7245.442281
1338	7244.658988
1339	7243.527145
1340	7242.544346
1341	7241.841948
1342	7241.524128
1343	7240.554388
1344	7239.94829
1345	7239.209082
1346	7238.469473
1347	7237.798544
1348	7236.560437
1349	7235.463927
1350	7234.859953
1351	7234.175645
1352	7232.856411
1353	7232.058711
1354	7231.138872
1355	7230.463787
1356	7229.9363
1357	7229.135938
1358	7228.253368
1359	7227.064516
1360	7226.414648
1361	7225.427318
1362	7224.709508
1363	7223.949465
1364	7223.181546
1365	7222.288335
1366	7221.573822
1367	7220.968349
1368	7220.435673
1369	7219.726615
1370	7218.960153
1371	7218.395248
1372	7217.855516
1373	7217.006745
1374	7216.088126
1375	7215.319391
1376	7214.582652
1377	7214.161767
1378	7213.015178
1379	7212.435985
1380	7211.477057
1381	7210.639094
1382	7210.244373
1383	7209.18383
1384	7208.640114
1385	7207.985844
1386	7207.057044
1387	7206.645818
1388	7206.067838
1389	7205.663362
1390	7204.682911
1391	7204.248574
1392	7203.774117
1393	7202.848667
1394	7202.438758
1395	7201.855683
1396	7201.234683
1397	7200.256978
1398	7199.798111
1399	7198.984032
1400	7198.365958
1401	7197.698668
1402	7197.288309
1403	7196.748571
1404	7196.343676
1405	7195.664765
1406	7194.990412
1407	7194.450088
1408	7193.724777
1409	7193.039524
1410	7192.565513
1411	7191.894472
1412	7191.078062
1413	7190.118392
1414	7189.07059
1415	7187.502805
1416	7186.866144
1417	7186.367836
1418	7185.788204
1419	7185.125889
1420	7184.411999
1421	7183.685685
1422	7182.719016
1423	7181.852047
1424	7181.323248
1425	7180.874928
1426	7179.900861
1427	7179.230949
1428	7178.631403
1429	7177.580698
1430	7176.498248
1431	7175.486339
1432	7174.937344
1433	7173.999714
1434	7173.214213
1435	7172.185842
1436	7171.481862
1437	7171.007748
1438	7170.480291
1439	7169.743191
1440	7169.099675
1441	7168.345801
1442	7167.294452
1443	7165.79871
1444	7165.287788
1445	7164.601283
1446	7163.702356
1447	7162.70274
1448	7161.939254
1449	7161.467301
1450	7160.814916
1451	7160.137339
1452	7159.651707
1453	7159.015274
1454	7158.142967
1455	7157.499925
1456	7156.960833
1457	7156.260485
1458	7155.700739
1459	7155.11703
1460	7154.47143
1461	7154.051957
1462	7153.513723
1463	7152.894305
1464	7152.370055
1465	7151.404688
1466	7150.870751
1467	7150.349768
1468	7149.668093
1469	7148.958814
1470	7148.164263
1471	7147.359357
1472	7146.507467
1473	7145.89836
1474	7145.442199
1475	7144.715814
1476	7143.916189
1477	7142.746994
1478	7142.12174
1479	7141.319096
1480	7140.76119
1481	7140.022248
1482	7139.616417
1483	7139.012496
1484	7138.540527
1485	7137.694023
1486	7136.880985
1487	7136.373815
1488	7135.500449
1489	7134.687675
1490	7133.915779
1491	7133.197331
1492	7132.680233
1493	7131.966012
1494	7131.036874
1495	7130.317401
1496	7129.43826
1497	7128.852918
1498	7128.269635
1499	7127.597697
1500	7126.910367
1501	7126.175801
1502	7125.356567
1503	7124.825327
1504	7124.302608
1505	7123.61494
1506	7122.845188
1507	7122.010933
1508	7121.437591
1509	7120.757854
1510	7120.309432
1511	7119.614495
1512	7118.86102
1513	7118.017682
1514	7117.434523
1515	7116.959719
1516	7116.482447
1517	7115.979461
1518	7115.459197
1519	7114.649266
1520	7114.064382
1521	7113.626653
1522	7113.121108
1523	7112.307306
1524	7111.684873
1525	7111.046519
1526	7110.015699
1527	7109.293255
1528	7108.839288
1529	7108.180153
1530	7107.661025
1531	7107.009686
1532	7106.591819
1533	7105.986315
1534	7105.484542
1535	7104.764699
1536	7104.229463
1537	7103.367915
1538	7102.973418
1539	7102.631584
1540	7102.094522
1541	7101.265351
1542	7100.676927
1543	7099.723078
1544	7099.012565
1545	7098.180027
1546	7097.273151
1547	7096.780573
1548	7095.794736
1549	7095.365642
1550	7094.739747
1551	7094.239458
1552	7093.642932
1553	7093.100012
1554	7092.308433
1555	7091.629587
1556	7090.842057
1557	7090.508508
1558	7089.632644
1559	7088.949735
1560	7088.418687
1561	7087.663272
1562	7086.977381
1563	7086.259384
1564	7085.717898
1565	7085.155794
1566	7084.619433
1567	7083.857369
1568	7083.334709
1569	7082.418194
1570	7081.653007
1571	7080.717808
1572	7080.131746
1573	7079.50362
1574	7078.543153
1575	7077.85247
1576	7077.24941
1577	7076.840249
1578	7076.208526
1579	7075.786292
1580	7075.185093
1581	7074.673188
1582	7074.078794
1583	7073.597019
1584	7073.125659
1585	7072.485694
1586	7071.710039
1587	7070.941265
1588	7070.524152
1589	7069.913329
1590	7069.443326
1591	7068.417433
1592	7067.961004
1593	7067.516082
1594	7066.853408
1595	7066.035127
1596	7065.59901
1597	7064.968951
1598	7064.370052
1599	7063.884705
1600	7063.362631
1601	7062.784522
1602	7061.977672
1603	7061.490286
1604	7061.214022
1605	7060.718707
1606	7060.26808
1607	7059.662822
1608	7059.152289
1609	7058.345849
1610	7057.744222
1611	7056.919532
1612	7056.161374
1613	7055.531796
1614	7055.06873
1615	7054.593737
1616	7054.136421
1617	7053.629556
1618	7053.179725
1619	7052.430715
1620	7051.688106
1621	7051.086605
1622	7050.374816
1623	7049.836226
1624	7049.304692
1625	7048.837171
